profile,outcome
323b1282-ac92-47eb-bcfe-76240354a03c,"[1,0,1,0.5,1,0.5,1]"
ca7f31c0-f373-419e-866d-e24765f3137b,"[1,0.5,-0.5,1,1]"
e0cc0a7c-ebed-4699-88ad-1900fc03ce3a,"[1,1,0,0,1]"
afff0dee-de24-47a8-9d3b-d6a42f33124d,"[-1,-1,-1,-1,-1,-1]"
9d99849f-b33d-4360-a42c-71aac6f0773d,"[1,1,1,1,1]"
13de703d-434c-4bb5-a781-70919b239697,"[1,0,1,1,1]"
bc49a6ae-3e3e-4466-9421-76b9f3df6743,"[0,0,0.5,1,1]"
c8863d7e-8979-4af5-bb76-9acb2150f425,"[0,0.5,0]"
28991e97-5178-472a-843b-7ccf18dbd130,"[-1,-1,-1,-1,-1]"
d94d6efa-b3a0-4383-b16a-3ba366b34021,"[1,0,0,0.5,1]"
b0e6bd4a-1163-4d25-9021-183ab108c862,"[-0.5,-0.5,-0.5,-0.5,-1]"
c8ac9f5e-c1a0-4aae-9243-229104e10f82,"[1,0.5,1,1]"
8b95553c-d450-4b49-8f4c-799461315106,"[1,0.8,1,0,1,0.8,1]"
9576eaa8-72d0-4ea6-8b67-d29069a2d69e,"[1,1,1,1,1]"
6adbfdda-6340-4a1f-a896-ca9431ca515e,"[1,1,1,1,1]"
4bb9e810-25f8-4284-85f1-bc3ee940411d,"[0,-1,-1,-1,0]"
72014117-50bf-456a-bc5e-d439bde925ea,"[0,-0.5,0,-1,-1,-1,0]"
