profile,image,outcome,race_scores
f2afb4bd-a9d3-4a60-8b0f-ad1b68b697ab,image_0.png,1,"[0.19681896 0.0336518  0.49270174 0.00621588 0.01809795 0.02163405
 0.23087958]"
f2afb4bd-a9d3-4a60-8b0f-ad1b68b697ab,image_1.png,1,"[0.19733422 0.00199749 0.59882504 0.00712874 0.03783515 0.04866939
 0.10821005]"
f2afb4bd-a9d3-4a60-8b0f-ad1b68b697ab,image_2.png,1,"[0.020939   0.008883   0.2950127  0.02124858 0.04077944 0.09795603
 0.51518124]"
f2afb4bd-a9d3-4a60-8b0f-ad1b68b697ab,image_3.png,1,"[0.05163247 0.04103548 0.795524   0.01130757 0.04680317 0.0307592
 0.02293809]"
f2afb4bd-a9d3-4a60-8b0f-ad1b68b697ab,image_4.png,0,"[0.05815243 0.00345873 0.56772196 0.07472015 0.20537181 0.00713636
 0.08343849]"
f2afb4bd-a9d3-4a60-8b0f-ad1b68b697ab,image_5.png,1,"[0.05787857 0.0019398  0.8598518  0.01231399 0.02647409 0.02464147
 0.0169003 ]"
f2afb4bd-a9d3-4a60-8b0f-ad1b68b697ab,image_6.png,1,"[0.19681896 0.0336518  0.49270174 0.00621588 0.01809795 0.02163405
 0.23087958]"
d5aa01cf-459a-4c39-a77c-c0c31c8fe537,image_0.png,1,"[8.3174825e-02 2.5449952e-04 5.7902879e-01 1.0762859e-02 1.2959362e-02
 2.6803178e-01 4.5787986e-02]"
d5aa01cf-459a-4c39-a77c-c0c31c8fe537,image_1.png,1,"[0.38675246 0.00103551 0.39275596 0.01783855 0.0255181  0.01745006
 0.15864938]"
d5aa01cf-459a-4c39-a77c-c0c31c8fe537,image_2.png,0,"[5.9702629e-01 9.1816932e-05 1.6803573e-01 4.5600431e-03 3.7699190e-03
 4.6668113e-03 2.2184940e-01]"
d5aa01cf-459a-4c39-a77c-c0c31c8fe537,image_3.png,1,"[0.5416857  0.00056124 0.24361044 0.01635253 0.00557556 0.03013521
 0.16207938]"
2f43f2a3-9753-4595-903e-0e77614ad667,image_0.png,1,"[9.9095410e-01 6.8666559e-05 4.9844198e-03 2.1345356e-04 9.1836228e-05
 6.0795628e-06 3.6813309e-03]"
2f43f2a3-9753-4595-903e-0e77614ad667,image_1.png,1,"[9.8839378e-01 5.5181954e-05 8.5236114e-03 1.6455361e-04 2.6551975e-04
 1.3236111e-04 2.4649797e-03]"
2f43f2a3-9753-4595-903e-0e77614ad667,image_2.png,1,"[9.9095410e-01 6.8666559e-05 4.9844198e-03 2.1345356e-04 9.1836228e-05
 6.0795628e-06 3.6813309e-03]"
43fbd34c-d166-41e4-8711-3338d81a4e59,image_0.png,1,"[7.1907520e-01 2.6259880e-04 1.2980327e-01 2.7435660e-04 8.3873048e-04
 1.9151798e-03 1.4783058e-01]"
43fbd34c-d166-41e4-8711-3338d81a4e59,image_1.png,0,"[8.1642067e-01 7.3906318e-05 5.3251468e-02 1.9367463e-03 1.2723521e-03
 8.9849759e-04 1.2614641e-01]"
43fbd34c-d166-41e4-8711-3338d81a4e59,image_2.png,-1,"[8.5799539e-01 1.8427380e-04 3.8601901e-02 2.0808130e-04 4.0154075e-04
 7.9710199e-04 1.0181167e-01]"
