image,race_scores,obese_scores
0.png,"[2.3575006e-02 2.7539965e-04 1.7496523e-01 3.2738137e-01 3.9390033e-01
 6.0589019e-02 1.9313613e-02]","[0.07414001226425171, 0.0015435876557603478, 0.9243164658546448]"
1.png,"[0.42597213 0.00224348 0.18383345 0.1546615  0.09490057 0.00576149
 0.13262744]","[0.24472829699516296, 0.7543739080429077, 0.0008977333200164139]"
2.png,"[3.1887731e-01 2.2327983e-04 3.5125980e-01 1.6611736e-01 7.9228841e-02
 7.3514700e-02 1.0778671e-02]","[0.0002511660277377814, 0.014795075170695782, 0.984953761100769]"
3.png,"[4.7500893e-07 9.9981403e-01 3.3400214e-05 8.1758327e-07 8.1058743e-06
 1.4262214e-04 4.7853814e-07]","[0.6964799761772156, 0.22323456406593323, 0.08028551936149597]"
4.png,"[1.6135059e-02 2.9827483e-04 1.1725020e-01 5.5125533e-03 1.0916856e-02
 4.1925129e-01 4.3063572e-01]","[0.9999619722366333, 2.9562650524894707e-05, 8.40594839246478e-06]"
5.png,"[5.7597643e-01 9.4281953e-05 3.8131350e-01 1.3107749e-03 5.1782709e-03
 2.7348462e-03 3.3391867e-02]","[5.037016308051534e-06, 0.005752368830144405, 0.9942426085472107]"
6.png,"[0.60409576 0.00246862 0.20484132 0.00117915 0.00632458 0.00604046
 0.17505012]","[0.009630289860069752, 0.9903624653816223, 7.1465592554886825e-06]"
7.png,"[2.4509604e-01 2.8428683e-04 2.1552376e-01 1.1629617e-01 5.6442693e-02
 1.5306235e-02 3.5105085e-01]","[0.18598029017448425, 0.7965337038040161, 0.01748598739504814]"
8.png,"[7.3870569e-07 9.9969769e-01 5.7617530e-05 8.4744815e-06 1.4222696e-04
 9.2810536e-05 4.4338955e-07]","[0.9711218476295471, 2.630458993735374e-06, 0.02887551672756672]"
9.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.999114453792572, 1.943866300280206e-05, 0.0008661746396683156]"
10.png,"[4.8923332e-05 9.9802554e-01 1.6545646e-03 2.7135388e-06 1.0116489e-04
 1.6369227e-04 3.4166887e-06]","[0.06261728703975677, 0.7907859683036804, 0.14659671485424042]"
11.png,"[9.3913126e-01 3.2935699e-05 6.6038719e-03 3.4618389e-03 2.0823034e-03
 8.3126174e-04 4.7856510e-02]","[0.03621235117316246, 0.9550001621246338, 0.008787416853010654]"
12.png,"[1.3019432e-01 2.8302780e-04 7.3586613e-01 9.0013497e-04 2.1719418e-03
 1.0161203e-01 2.8972467e-02]","[0.006039957981556654, 0.9752917289733887, 0.01866837590932846]"
13.png,"[0.2998325  0.2795269  0.04188446 0.17290951 0.01969917 0.00817889
 0.17796858]","[7.745878247078508e-05, 0.0035738220904022455, 0.9963487386703491]"
14.png,"[2.1382567e-02 9.5956298e-03 1.4628766e-01 4.2247467e-04 3.6340242e-03
 7.5969297e-01 5.8984704e-02]","[0.7085230946540833, 0.2801552712917328, 0.01132160983979702]"
15.png,"[5.5144846e-01 6.6330344e-05 1.0800444e-01 2.7253557e-04 3.1294950e-04
 1.8042196e-03 3.3809102e-01]","[0.6976414322853088, 0.0483236201107502, 0.25403496623039246]"
16.png,"[0.02256233 0.00072123 0.0623665  0.00163074 0.00343082 0.34841183
 0.56087655]","[0.9999953508377075, 3.3626372442085994e-06, 1.3502864248948754e-06]"
17.png,"[1.9487891e-02 1.7075170e-05 1.0936764e-02 8.3163780e-01 1.2701848e-01
 7.0439238e-04 1.0197507e-02]","[0.9999992847442627, 8.559536723851124e-08, 6.420473255275283e-07]"
18.png,"[3.2333601e-06 9.9657130e-01 2.1096527e-04 2.8397275e-05 6.6517806e-04
 2.5203906e-03 5.6884727e-07]","[0.0016913468716666102, 0.1570664495229721, 0.8412421941757202]"
19.png,"[0.01393159 0.00683187 0.47428194 0.00888999 0.11831055 0.35709685
 0.02065728]","[0.9997313618659973, 3.873351292482674e-12, 0.0002685947110876441]"
20.png,"[9.6832407e-01 8.1395929e-06 1.6792441e-02 1.8076778e-04 8.2976272e-05
 6.0803583e-04 1.4003564e-02]","[0.41600218415260315, 0.45014214515686035, 0.13385561108589172]"
21.png,"[5.4495925e-01 2.8325760e-04 1.5510209e-01 8.6068111e-03 1.2248706e-02
 1.5966685e-01 1.1913301e-01]","[0.18299600481987, 0.6053169369697571, 0.21168704330921173]"
22.png,"[0.15111277 0.00211515 0.48601186 0.01784799 0.06816926 0.1770575
 0.09768549]","[0.006135118659585714, 0.8400649428367615, 0.15379993617534637]"
23.png,"[1.1151056e-04 7.4262112e-01 4.5369636e-02 1.4559875e-04 5.1167761e-03
 2.0656784e-01 6.7497007e-05]","[0.0009428632911294699, 0.004562010057270527, 0.9944950938224792]"
24.png,"[8.02121882e-04 3.83756209e-08 4.79209193e-05 9.70781624e-01
 2.83437967e-02 1.04697720e-05 1.41095725e-05]","[0.0015656809555366635, 0.0032035524491220713, 0.9952307343482971]"
25.png,"[0.00215634 0.00313891 0.04917401 0.01547206 0.82528263 0.09428089
 0.01049521]","[0.01685320772230625, 0.9810132384300232, 0.002133506117388606]"
26.png,"[9.82163608e-01 1.56490557e-07 5.86492170e-05 9.85838255e-07
 1.17236311e-06 1.35609325e-05 1.77618433e-02]","[0.02101263403892517, 0.9786536693572998, 0.0003337972448207438]"
27.png,"[6.3095911e-04 8.4178355e-05 3.2138152e-03 8.7319750e-01 1.2150969e-01
 3.7449325e-04 9.8933338e-04]","[2.8116206522099674e-05, 0.9864359498023987, 0.013535893522202969]"
28.png,"[6.8654902e-02 1.3300289e-04 6.9671941e-01 3.6018894e-03 6.7280261e-03
 1.5564288e-01 6.8519920e-02]","[0.0006309241871349514, 0.7417557835578918, 0.25761330127716064]"
29.png,"[0.08042022 0.00793014 0.44126844 0.1168364  0.2608904  0.03072782
 0.06192663]","[0.0016443287022411823, 0.002106764819473028, 0.9962489008903503]"
30.png,"[9.9795246e-01 1.6552627e-05 7.1856560e-04 3.1217720e-04 2.4090266e-04
 3.1318759e-05 7.2797225e-04]","[0.9981552958488464, 0.00026355835143476725, 0.0015811901539564133]"
31.png,"[0.07290669 0.00236212 0.7387799  0.00097061 0.00287072 0.07534126
 0.10676865]","[0.9874985814094543, 0.01215585507452488, 0.00034555140882730484]"
32.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.5429685115814209, 0.456233948469162, 0.0007974880863912404]"
33.png,"[8.10171710e-04 1.14369446e-04 3.39445495e-03 7.90454626e-01
 2.03561530e-01 1.47377700e-03 1.91065265e-04]","[0.13763491809368134, 0.6979395151138306, 0.16442565619945526]"
34.png,"[2.3609501e-01 1.3515644e-04 6.9919991e-01 1.1222123e-03 3.8532533e-03
 2.7066140e-02 3.2528408e-02]","[0.00030485953902825713, 0.013313616625964642, 0.9863815307617188]"
